playerID,Player Name,Age,Nationality,Position,Foot,Club,Market_Value_million
3423,Kylian Mbappe-Lottin,23,France,Striker,Right,Paris Saint-Germain,160
8260,Erling Haaland,21,Norway,Striker,Right,Borussia Dortmund,150
7008,Vinícius Júnior,21,Brazil,Left Winger,Left,Real Madrid,100
1250,Mohamed Salah,29,Egypt,Right Winger,Left,Liverpool,100
647,Harry Kane,28,England,Striker,Right,Tottenham Hotspurs,100
7084,Dusan Vlahovic,22,Serbia,Striker,Left,Juventus,85
618,Raheem Sterling,27,England,Left Winger,Right,Manchester City,85
594,Romelu Lukaku,29,Belgium,Striker,Left,Chelsea,85
6345,Jadon Sancho,22,England,Left Winger,Right,Manchester United,80
675,Jack Grealish,26,England,Left Winger,Right,Manchester City,80
838,Sadio Mané,30,Senegal,Left Winger,Right,Liverpool,80
453,Son Heung-Min,29,South Korea,Left Winger,Right,Tottenham Hotspurs,80
2099,Neymar,30,Brazil,Left Winger,Right,Paris Saint-Germain,75
7892,João Félix,22,Portugal,Striker,Right,Atl�tico de Madrid,70
7006,Lautaro Martínez,24,Argentina,Striker,Left,Inter Milan,70
1433,Federico Chiesa,24,Italy,Right Winger,Right,Juventus,70
556,Marcus Rashford,24,England,Left Winger,Right,Manchester United,70
337,Leroy Sané,26,Germany,Left Winger,Left,Bayern Munich,70
993,Serge Gnabry,26,Germany,Right Winger,Right,Bayern Munich,70
3300,Christopher Nkunku,24,France,Striker,Right,RB Leipzig,65
7967,Anssumane Fati,19,Spain,Left Winger,Right,Barcelona,60
8015,Rodrygo,21,Brazil,Right Winger,Right,Real Madrid,60
5322,Victor Osimhen,23,Nigeria,Striker,Right,Napoli,60
2234,Mikel Oyarzabal,25,Spain,Left Winger,Left,Real Sociedad,60
6854,Diogo Jota,25,Portugal,Striker,Right,Liverpool,60
226,Kingsley Coman,25,France,Right Winger,Right,Bayern Munich,60
6556,Moussa Diaby,22,France,Left Winger,Left,"Bayer Leverkusen ",55
6026,Richarlison,25,Brazil,Striker,Right,Everton,55
5543,Gabriel Jesus,25,Brazil,Striker,Right,Manchester City,50
8066,Arnaut Danjuma Groeneveld,25,Netherlands,Striker,Right,Villarreal,50
